first_name,last_name,dob,country_id,specialism_id,hand
Alastair,Cook,25/12/1984,247,1,Left
Nick,Compton,26/06/1983,247,1,Left
Jonathon,Trott,22/04/1981,214,1,Right
Kevin,Petersen,27/06/1980,214,1,Right
Ian,Bell,11/04/1982,247,1,Right
Jonny,Bairstow,26/09/1989,247,1,Right
Matt,Prior,26/02/1982,214,3,Right
Stuart,Broad,24/06/1986,247,4,Right
James,Anderson,30/07/1982,247,2,Right
Graeham,Swann,24/03/1979,247,2,Right
Stephen,Finn,04/04/1989,247,2,Right
Graeme,Smith,01/02/1981,214,1,Left
Alviro,Petersen,25/11/1980,214,1,Right
Hashim,Amla,31/03/1983,214,1,Right
Jacques,Kallis,16/10/1975,214,4,Right
AB,"de Villiers",17/02/1984,214,3,Right
Jacques,Rudolph,04/05/1981,214,1,Left
Vernon,Philander,24/05/1985,214,4,Right
Dale,Steyn,27/04/1983,214,2,Right
Rory,Kleinveldt,15/03/1983,214,2,Right
Morne,Morkel,06/10/1984,214,2,Right
"Jean-Paul",Duminy,14/04/1984,214,2,Right
